TC,TC_Description,TC_Main_Category,TC_Sub_Category
CXCC,Upload Methods: Reported Fin. Data,Enterprice Controlling,Consolidation
CXCD,Data Monitor,Enterprice Controlling,Consolidation
CXCE,Data Monitor for a Cons Unit,Enterprice Controlling,Consolidation
CXCF,Cons Monitor for a Cons Group,Enterprice Controlling,Consolidation
CXCK,Copy Totals Records,Enterprice Controlling,Consolidation
CXCL,Cons: Item Substitution/Ret.Earnings,Enterprice Controlling,Consolidation
CXCR,Delete Totals Records,Enterprice Controlling,Consolidation
CXCX,Report Selection,Enterprice Controlling,Consolidation
CXCY,Customizing of Report Selection,Enterprice Controlling,Consolidation
CXD1,Currency translation methods,Enterprice Controlling,Consolidation
CXD2,Exchange Rate Indicators,Enterprice Controlling,Consolidation
CXD3,Cur.Trl.aff.Earnings: FS Items,Enterprice Controlling,Consolidation
CXDL,Delete trans. data in Cons ledger,Enterprice Controlling,Consolidation
CXDL1,Delete trans. data in Cons ledger,Enterprice Controlling,Consolidation
CXE0,Task groups,Enterprice Controlling,Consolidation
CXE0P,Assignment Archiving Log,Enterprice Controlling,Consolidation
CXE1,Document Types,Enterprice Controlling,Consolidation
CXE5,Post selected items,Enterprice Controlling,Consolidation
CXE6,Tasks for IU Elimination,Enterprice Controlling,Consolidation
CXE7,Methods for Interunit Elimination,Enterprice Controlling,Consolidation
CXE8,Tasks for IU Elimination,Enterprice Controlling,Consolidation
CXE9N,Start IMG for SAP Cons (internal),Enterprice Controlling,Consolidation
CXEA,Tasks for Reclassification,Enterprice Controlling,Consolidation
CXEB,Methods for Reclassification,Enterprice Controlling,Consolidation
CXEC,Reclassification,Enterprice Controlling,Consolidation
CXED,Tasks for Prep.for Cons Group Change,Enterprice Controlling,Consolidation
CXEE,Cons: Contra Items / Ret. Earnings,Enterprice Controlling,Consolidation
CXEF,Cons: Rollup Standardized Fin. Data,Enterprice Controlling,Consolidation
CXEG,IMG: Doc.Types for Man.Posting - DM,Enterprice Controlling,Consolidation
CXEH,IMG: Doc.Types for Reclassific. - DM,Enterprice Controlling,Consolidation
CXEI,IMG: Doc.Types for Prep/CG Chgs - DM,Enterprice Controlling,Consolidation
CXEJ,IMG: Doc.Types for Man.Posting - CM,Enterprice Controlling,Consolidation
CXEK,IMG: Doc.Types for Reclassific. - CM,Enterprice Controlling,Consolidation
CXEL,IMG: Doc.Types for Prep/CG Chgs - CM,Enterprice Controlling,Consolidation
CXEM,IMG: Doc.Types for IU Elimination,Enterprice Controlling,Consolidation
CXEN,IMG: Doc.Types for Cons of Investmts,Enterprice Controlling,Consolidation
CXEO,IMG: Doc. Types for Realtime Update,Enterprice Controlling,Consolidation
CXEP,IMG: Document types for EIPI,Enterprice Controlling,Consolidation
CXEU1,ECCS EURO: Populate Euro Units,Enterprice Controlling,Consolidation
CXEU4,ECCS Euro: Status Management,Enterprice Controlling,Consolidation
CXEUA,ECCS EURO: Reconcile Totals Records,Enterprice Controlling,Consolidation
CXEUB,ECCS EURO: Additional Financial Data,Enterprice Controlling,Consolidation
CXEUC,ECCS Euro: Integration,Enterprice Controlling,Consolidation
CXG1,Integrated Entry from Invest./Equity,Enterprice Controlling,Consolidation
CXGP,Global parameters,Enterprice Controlling,Consolidation
CXH1,Minority Interest Items,Enterprice Controlling,Consolidation
CXH2,Appropriation Items for the Group,Enterprice Controlling,Consolidation
CXH3,Minority Appropriation Items,Enterprice Controlling,Consolidation
CXH4,Statistical Equity Capital,Enterprice Controlling,Consolidation
CXHA,Distribution of Dividends,Enterprice Controlling,Consolidation
CXHB,Director`s Bonus,Enterprice Controlling,Consolidation
CXI0,Global Settings for C/I,Enterprice Controlling,Consolidation
CXI1,Consolidation of investments tasks,Enterprice Controlling,Consolidation
CXI2,C/I system utilization,Enterprice Controlling,Consolidation
CXI3,C/I Activities: Default Sequence,Enterprice Controlling,Consolidation
CXI4,Consolidation of investments methods,Enterprice Controlling,Consolidation
CXI5,Activity/Method Type: Asgn Doc.Types,Enterprice Controlling,Consolidation
CXI9,Selected Items for C/I,Enterprice Controlling,Consolidation
CXIA,Consolidation tasks,Enterprice Controlling,Consolidation
CXIB,Cons Tasks: Assign Document Type,Enterprice Controlling,Consolidation
CXJ1,Equity Method: Scope of Rptd Data,Enterprice Controlling,Consolidation
CXJ2,Reported Items for Equity Method,Enterprice Controlling,Consolidation
CXJ3,Posted Items in Equity Consolidation,Enterprice Controlling,Consolidation
CXJ4,Reported items for investments,Enterprice Controlling,Consolidation
CXJ5,Reported Items for Changes in Equity,Enterprice Controlling,Consolidation
CXL1,Create Ledger,Enterprice Controlling,Consolidation
CXL2,Change Ledger,Enterprice Controlling,Consolidation
CXL3,Display Ledger,Enterprice Controlling,Consolidation
CXL4,Delete Ledger,Enterprice Controlling,Consolidation
CXLP1,Display Archived Audit Trail,Enterprice Controlling,Consolidation
CXLP2,Delete Archived Logs,Enterprice Controlling,Consolidation
CXM1,Edit Method Hierarchies,Enterprice Controlling,Consolidation
CXM2,Display method hierarchies,Enterprice Controlling,Consolidation
CXN0,Map Secondary Cost Elements,Enterprice Controlling,Consolidation
CXN001,Delete Docs from Realtime Updates,Enterprice Controlling,Consolidation
CXN01,Maintain Transaction Types of Cons,Enterprice Controlling,Consolidation
CXN013,Integr. Cons Units - PrCtr Cons,Enterprice Controlling,Consolidation
CXN023,Integr. Cons Groups - PrCtr Cons,Enterprice Controlling,Consolidation
CXN1,Map Charts/Accts to Cons Charts/Acct,Enterprice Controlling,Consolidation
CXN2,Compare G/L Charts and Cons Charts,Enterprice Controlling,Consolidation
CXN3,Rules for ID Combination,Enterprice Controlling,Consolidation
CXN4,Convert Collection of CU Master Data,Enterprice Controlling,Consolidation
CXN5,Assign Company Codes/Business Areas,Enterprice Controlling,Consolidation
CXN6,Cons Type and Dimension Assignments,Enterprice Controlling,Consolidation
CXN7,Download Rollup-related Data,Enterprice Controlling,Consolidation
CXN8,Upload Rollup-related Data,Enterprice Controlling,Consolidation
CXNA,Download PCA Hierarchies,Enterprice Controlling,Consolidation
CXNB,Download Business Areas/Companies,Enterprice Controlling,Consolidation
CXNC,EC-PCA Trx.Data: Cost Elem./Activity,Enterprice Controlling,Consolidation
CXND,EC-PCA Trx.Data: Partner Info,Enterprice Controlling,Consolidation
CXNE,List CO Cost Elements by Category,Enterprice Controlling,Consolidation
CXNF,Assign G/L chart and Cons chart,Enterprice Controlling,Consolidation
CXNG,Integrated Cons Units,Enterprice Controlling,Consolidation
CXNH,Display Integrated Cons Units,Enterprice Controlling,Consolidation
CXNI,Display Items from Integration,Enterprice Controlling,Consolidation
CXNJ,Display Subitems from Integration,Enterprice Controlling,Consolidation
CXNL,Cons: Download PrCtr Master/Hier.,Enterprice Controlling,Consolidation
CXNM,Follow-up pstng FI-Doc. (Tot. table),Enterprice Controlling,Consolidation
CXNN,Write Periodic Extract,Enterprice Controlling,Consolidation
CXNO,Delete Realtime-Updated Documents,Enterprice Controlling,Consolidation
CXNP,Copy Group Accounts to FS Items,Enterprice Controlling,Consolidation
CXNQ,Display Transferred Documents,Enterprice Controlling,Consolidation
CXNR,Reconc. totals record General/ConsSL,Enterprice Controlling,Consolidation
CXNT,Subsequent Integration of Org Units,Enterprice Controlling,Consolidation
CXNU,Maintain Field Movement/Real.Update,Enterprice Controlling,Consolidation
CXNV,Maintain Group Acct in G/L Account,Enterprice Controlling,Consolidation
CXNW,Subseq.Posting of FI Docs->ConsPrep.,Enterprice Controlling,Consolidation
CXNX,Reconcile FI/Cons at Document Level,Enterprice Controlling,Consolidation
CXNY,Set/Display Lock Mode for Rollup,Enterprice Controlling,Consolidation
CXNZ,Reconciliation Totals Consolidation,Enterprice Controlling,Consolidation
CXP1,Assign Task groups,Enterprice Controlling,Consolidation
CXP2,Tasks for Carryforward,Enterprice Controlling,Consolidation
CXP3,Tasks for Data Collection,Enterprice Controlling,Consolidation
CXP4,Tasks for Validation of Rptd Data,Enterprice Controlling,Consolidation
CXP5,Tasks for Manual Posting,Enterprice Controlling,Consolidation
CXP6,Tasks for Currency Translation,Enterprice Controlling,Consolidation
CXP7,Tasks for Valid.of Standardized Data,Enterprice Controlling,Consolidation
CXP8,Tasks for Rollups,Enterprice Controlling,Consolidation
CXP9,Tasks for Valid.of consolidated data,Enterprice Controlling,Consolidation
CXR0,Run drilldown report,Enterprice Controlling,Consolidation
CXR1,Create drilldown report,Enterprice Controlling,Consolidation
CXR2,Change drilldown report,Enterprice Controlling,Consolidation
CXR3,Display drilldown report,Enterprice Controlling,Consolidation
CXR4,Form for creating reports,Enterprice Controlling,Consolidation
CXR5,Form for changing reports,Enterprice Controlling,Consolidation
CXR6,Form for displaying reports,Enterprice Controlling,Consolidation
CXRA,Maintain Variant Groups,Enterprice Controlling,Consolidation
CXRB,Maintain Variants,Enterprice Controlling,Consolidation
CXRC,Schedule Variant Groups,Enterprice Controlling,Consolidation
CXRD,Create Variant Groups,Enterprice Controlling,Consolidation
CXRE,Reorganization of Variant Groups,Enterprice Controlling,Consolidation
CXRF,Characteristic Group Maintenance,Enterprice Controlling,Consolidation
CXRH,Hierarchy Maintenance,Enterprice Controlling,Consolidation
CXRI,Overview of Reports,Enterprice Controlling,Consolidation
CXRK,Maintain Key Figures,Enterprice Controlling,Consolidation
CXRM,Test monitor - drilldown reports,Enterprice Controlling,Consolidation
CXRO,Transport reports,Enterprice Controlling,Consolidation
CXRP,Transport forms,Enterprice Controlling,Consolidation
CXRQ,Import Reports from Client,Enterprice Controlling,Consolidation
CXRR,Import Layouts from Client,Enterprice Controlling,Consolidation
CXRT,Translation Tool - Drilldown Reports,Enterprice Controlling,Consolidation
CXRU,Cross-table translation keys,Enterprice Controlling,Consolidation
CXRV,Maintain global variables,Enterprice Controlling,Consolidation
CXRW,Convert Drilldown Reports,Enterprice Controlling,Consolidation
CXRX,Reorganize Drilldown Reports,Enterprice Controlling,Consolidation
CXRY,Reorganize report data,Enterprice Controlling,Consolidation
CXRZ,Reorganize Forms,Enterprice Controlling,Consolidation
CXS1,Carry Forward Balances,Enterprice Controlling,Consolidation
CXS3,Carryforward Items,Enterprice Controlling,Consolidation
CXS4,Non-carryforward Items,Enterprice Controlling,Consolidation
CXSA,Display Set Maintenance,Enterprice Controlling,Consolidation
CXSB,Change Set Maintenance,Enterprice Controlling,Consolidation
CXSC,Create Set Maintenance,Enterprice Controlling,Consolidation
CXSD,Delete Set Maintenance,Enterprice Controlling,Consolidation
CXV1,Validation,Enterprice Controlling,Consolidation
CXV2,Create Validation,Enterprice Controlling,Consolidation
CXV3,Change Validation,Enterprice Controlling,Consolidation
CXV4,Display Validation,Enterprice Controlling,Consolidation
CXV5,Maintain equivalency relationship,Enterprice Controlling,Consolidation
CXVM,Call View Maintenance,Enterprice Controlling,Consolidation
CY00,Engineering Menu,Cross Application,CAD Integration
CY38,Resource planning format,PP,Capacity Leveling
CY39,Sort layout key maintenance,PP,Capacity Leveling
CZ48_1,PS-CM: Create Planning Layout,Project Systems,Planning
CZ48_2,PS-CM: Change Planning Layout,Project Systems,Planning
CZ48_3,PS-CM: Display Planning Layout,Project Systems,Planning
CZ48_4,Transport Planning Layouts,Project Systems,Planning
CZ48_5,Import Planning Layouts,Project Systems,Planning
DB01,Analyze Exclusive Lockwaits,Basis,Performance Monitors (TCC)
DB02,Tables and Indexes Monitor,Basis,Performance Monitors (TCC)
DB03,Parameter changes in database,Basis,Performance Monitors (TCC)
DB05,Analysis of a Table Acc. to Index,Basis,Performance Monitors (TCC)
DB11,Create Database Connection,Basis,MaxDB
DB12,DBA Backup Logs,Basis,CCMS / Database Monitors for Oracle
DB13,DBA Planning Calendar,Basis,CCMS / Database Monitors for Oracle
DB13C,Central DBA Planning Calendar,Basis,CCMS / Database Monitors for Oracle
DB13OLD,DBA Planning Calendar (OLD),Basis,CCMS / Database Monitors for Oracle
DB14,Display DBA Operation Logs,Basis,CCMS / Database Monitors for Oracle
DB15,Data Archiving: Database Tables,Basis,Archive Development Kit
DB16,Display DB Check Results,Basis,CCMS / Database Monitors for Oracle
DB17,Configure DB Check,Basis,CCMS / Database Monitors for Oracle
DB2,DB2 z/OS: Select Database Activities,Basis,DB2 for OS/390
DB20,Update DB Statistics,Basis,CCMS / Database Monitors for Oracle
DB21,Configure DB Statistics,Basis,CCMS / Database Monitors for Oracle
DB24,Administrative Database Operations,Basis,CCMS / Database Monitors for Oracle
DB26,DB Profile:Monitor and Configuration,Basis,Database Monitors
DB2B,DB2 z/OS: Buffer pool tuning,Basis,DB2 for OS/390
DB2C,DB2 z/OS: Catalog Browser,Basis,DB2 for OS/390
DB2D,DB2 z/OS - Deadlock Monitor,Basis,DB2 for OS/390
DB2J,DB2 z/OS: Manage JCL Jobs,Basis,DB2 for OS/390
DB2T,DB2 z/OS - Timeout Monitor,Basis,DB2 for OS/390
DB2U,DB2 z/OS: Long Running Transactions,Basis,DB2 for OS/390
DB2W,DB2 z/OS: Workload Manager Monitor,Basis,DB2 for OS/390
DB2X,DB2/390: database check,Basis,DB2 for OS/390
DB33,DB System check (configure; IFMX),Basis,Database Monitors
DB34,Dbspace extension (IFMX),Basis,Database Monitors
DB36,DB6: Alert Configuration,Basis,DB2 Universal Database for UNIX / NT
DB37,DB6: Alert Message Log,Basis,DB2 Universal Database for UNIX / NT
DB4DGN,Diagnostics,Basis,DB2 for AS/400
DB4LCK,Lock Monitor,Basis,DB2 for AS/400
DB50,SAP DB Assistant,Basis,MaxDB
DB50N,Database Assistant,Basis,MaxDB
DB59,MaxDB/liveCache System Overview,Basis,MaxDB
DB6CLP,DB6: Command Line Processor,Basis,DB2 Universal Database for UNIX / NT
DB6CST,DB6: Analyze Cumulative SQL Trace,Basis,DB2 Universal Database for UNIX / NT
DB6DBM,DB6: Database Manager Configuration,Basis,DB2 Universal Database for UNIX / NT
DB6DBP,DB6: Database Configuration,Basis,DB2 Universal Database for UNIX / NT
DB6EXL,DB6: Analyze Exclusive Lock Waits,Basis,DB2 Universal Database for UNIX / NT
DB6FSC,DB6: File System Configuration,Basis,DB2 Universal Database for UNIX / NT
